IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
150814721,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Wednesday,9/16/2015,20:13,INGLESIDE,ARREST/ BOOKED,CRESCENT AV / AGNON AV,-122.4221231,37.7351538,(37.7351537979385/ -122.422123114998),1.51E+13
150815296,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,9/16/2015,20:00,SOUTHERN,NONE,MISSION ST / 8TH ST,-122.4131609,37.77745666,(37.7774566611807/ -122.41316085097),1.51E+13
150814925,ASSAULT,THREAT OR FORCE TO RESIST EXECUTIVE OFFICER,Wednesday,9/16/2015,20:00,MISSION,ARREST/ BOOKED,3500 Block of 16TH ST,-122.4326987,37.76420851,(37.7642085124936/ -122.432698723051),1.51E+13
150814646,LARCENY/THEFT,GRAND THEFT FROM PERSON,Wednesday,9/16/2015,20:00,SOUTHERN,NONE,700 Block of MISSION ST,-122.40307,37.78526863,(37.7852686309087/ -122.403070000847),1.51E+13
150814840,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,9/16/2015,20:00,MISSION,NONE,400 Block of CASTRO ST,-122.4351501,37.76175972,(37.7617597243598/ -122.435150099812),1.51E+13
156229514,NON-CRIMINAL,LOST PROPERTY,Wednesday,9/16/2015,20:00,NORTHERN,NONE,0 Block of GROVE ST,-122.4174299,37.77853494,(37.7785349354394/ -122.41742986085),1.56E+13
150814925,FRAUD,DEFRAUDING AN INNKEEPER,Wednesday,9/16/2015,20:00,MISSION,ARREST/ BOOKED,3500 Block of 16TH ST,-122.4326987,37.76420851,(37.7642085124936/ -122.432698723051),1.51E+13
150814549,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Wednesday,9/16/2015,19:46,NORTHERN,ARREST/ BOOKED,HEMLOCK ST / POLK ST,-122.4200215,37.78728071,(37.7872807076108/ -122.420021471047),1.51E+13
150814715,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Wednesday,9/16/2015,19:40,MISSION,ARREST/ BOOKED,MARKET ST / PORTOLA DR,-122.4433495,37.75008137,(37.7500813664643/ -122.443349499107),1.51E+13
150814533,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Wednesday,9/16/2015,19:40,TENDERLOIN,ARREST/ BOOKED,MCALLISTER ST / HYDE ST,-122.415318,37.78071793,(37.7807179285998/ -122.415317966992),1.51E+13
150814533,ASSAULT,BATTERY OF A POLICE OFFICER,Wednesday,9/16/2015,19:40,TENDERLOIN,ARREST/ BOOKED,MCALLISTER ST / HYDE ST,-122.415318,37.78071793,(37.7807179285998/ -122.415317966992),1.51E+13
150814533,OTHER OFFENSES,RESISTING ARREST,Wednesday,9/16/2015,19:40,TENDERLOIN,ARREST/ BOOKED,MCALLISTER ST / HYDE ST,-122.415318,37.78071793,(37.7807179285998/ -122.415317966992),1.51E+13
150814806,LARCENY/THEFT,GRAND THEFT BICYCLE,Wednesday,9/16/2015,19:30,SOUTHERN,NONE,MISSION ST / 4TH ST,-122.4042702,37.78447885,(37.7844788538745/ -122.404270179486),1.51E+13
150815901,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,9/16/2015,19:30,PARK,NONE,TURK ST / SCOTT ST,-122.4370756,37.779868,(37.7798680003913/ -122.437075560735),1.51E+13
150814470,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Wednesday,9/16/2015,19:30,SOUTHERN,NONE,700 Block of MARKET ST,-122.4039191,37.7871161,(37.7871160984672/ -122.403919148357),1.51E+13
156230834,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,9/16/2015,19:30,SOUTHERN,NONE,800 Block of HARRISON ST,-122.4007999,37.77993387,(37.7799338672319/ -122.400799947914),1.56E+13
156233822,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Wednesday,9/16/2015,19:30,SOUTHERN,NONE,600 Block of MISSION ST,-122.4002189,37.78775238,(37.7877523788601/ -122.400218868349),1.56E+13
150814527,NON-CRIMINAL,AIDED CASE/ MENTAL DISTURBED,Wednesday,9/16/2015,19:29,RICHMOND,NONE,700 Block of 18TH AV,-122.4766915,37.7738311,(37.7738311003572/ -122.476691497828),1.51E+13
150814486,NON-CRIMINAL,AIDED CASE/ MENTAL DISTURBED,Wednesday,9/16/2015,19:25,INGLESIDE,NONE,1600 Block of GENEVA AV,-122.4279656,37.71158164,(37.7115816415732/ -122.427965645504),1.51E+13
150814464,OTHER OFFENSES,DRIVERS LICENSE/ SUSPENDED OR REVOKED,Wednesday,9/16/2015,19:23,BAYVIEW,ARREST/ BOOKED,17TH ST / ARKANSAS ST,-122.3987054,37.76501339,(37.765013394552/ -122.398705442404),1.51E+13
150814856,ASSAULT,THREAT OR FORCE TO RESIST EXECUTIVE OFFICER,Wednesday,9/16/2015,19:02,TENDERLOIN,ARREST/ BOOKED,300 Block of EDDY ST,-122.4129305,37.78383444,(37.7838344374141/ -122.412930522059),1.51E+13
150814856,FRAUD,FALSE ID TO PEACE OFFICER,Wednesday,9/16/2015,19:02,TENDERLOIN,ARREST/ BOOKED,300 Block of EDDY ST,-122.4129305,37.78383444,(37.7838344374141/ -122.412930522059),1.51E+13
150815064,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,9/16/2015,19:00,CENTRAL,NONE,BUSH ST / POWELL ST,-122.4087875,37.79015782,(37.7901578215257/ -122.408787528948),1.51E+13
150815086,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,9/16/2015,19:00,SOUTHERN,NONE,1700 Block of ALAMEDA ST,-122.4024486,37.76862184,(37.7686218429147/ -122.402448598316),1.51E+13
150814969,BURGLARY,BURGLARY OF APARTMENT HOUSE/ UNLAWFUL ENTRY,Wednesday,9/16/2015,19:00,BAYVIEW,NONE,100 Block of TOPEKA AV,-122.3980889,37.73350068,(37.7335006841226/ -122.398088929937),1.51E+13
150818096,ASSAULT,AGGRAVATED ASSAULT WITH A KNIFE,Wednesday,9/16/2015,19:00,SOUTHERN,ARREST/ BOOKED,100 Block of 6TH ST,-122.4084666,37.78070083,(37.7807008318778/ -122.408466556173),1.51E+13
150818096,SECONDARY CODES,DOMESTIC VIOLENCE,Wednesday,9/16/2015,19:00,SOUTHERN,ARREST/ BOOKED,100 Block of 6TH ST,-122.4084666,37.78070083,(37.7807008318778/ -122.408466556173),1.51E+13
150818096,OTHER OFFENSES,MISCELLANEOUS STATE FELONY,Wednesday,9/16/2015,19:00,SOUTHERN,ARREST/ BOOKED,100 Block of 6TH ST,-122.4084666,37.78070083,(37.7807008318778/ -122.408466556173),1.51E+13
156230953,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,9/16/2015,19:00,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071,(37.775420706711/ -122.403404791479),1.56E+13
